"Defense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","6.517101976137165","5.925943768919303","2.0241949242215145","7.468004130824854","2.190790334681982","0.775673267593183","1.3550399362622414","4.972988549436761","5.925943768919303","0.775673267593183","2.454614731560589","9.152215405426835","0.8779216015483182","","5.208744951090535","7.154459520603611","6.819396342547373","13","3.107381449448287","3","7.742829538660574","16","4.15341178898922"
"ATL","5.0969805176354495","7.687486811259654","4.269679486772539","7.154459520603611","1.7451519614802988","0.8560874143137718","1.3535097930150686","5.556114892160954","4.370961668764377","2.2800075398341515","","4.148789747449429","2.190790334681982","10","9.152215405426835","5.556114892160954","7.154459520603611","13","4.3336346803109995","3","9.374022190327358","16","4.949526472819149"
"BLT","3.9075325559474416","7.154459520603611","4.972988549436761","8.5203632157706","4.088062584713256","10","3.897616059652637","0","5.742239331514912","6.517101976137165","8.276208760681676","6.23268571398012","","5.556114892160954","5.0969805176354495","10","4.370961668764377","13","8.483902921675824","3","7.916491451605968","16","8.32530674170648"
"BUF","6.23268571398012","2.190790334681982","6.517101976137165","2.3931242111700666","0.775673267593183","6.819396342547373","","1.7451519614802988","4.148789747449429","5.208744951090535","10","2.2800075398341515","2.3931242111700666","4.269679486772539","0.8560874143137718","2.025606378347445","9.288657443950783","13","4.049670626613035","3","3.4750969400170644","16","1.9623455931554854"
"CAR","0.8560874143137718","4.088062584713256","10","2.190790334681982","","0.8779216015483182","5.182428770408976","4.269679486772539","2.025606378347445","7.154459520603611","1.8787989243987302","5.556114892160954","4.148789747449429","7.154459520603611","4.370961668764377","5.0969805176354495","5.925943768919303","13","2.7409041163282155","3","5.436975799231335","16","2.863729599159802"
"CHI","7.687486811259654","4.148789747449429","0.8779216015483182","5.208744951090535","4.269679486772539","4.088062584713256","1.7534623290114715","5.925943768919303","5.556114892160954","","7.702361254868901","2.190790334681982","5.742239331514912","9.288657443950783","0","4.269679486772539","2.190790334681982","13","6.042389085605663","3","0","16","4.442196709983218"
"CIN","5.556114892160954","6.23268571398012","5.0969805176354495","5.742239331514912","9.288657443950783","","1.051002118649107","8.5203632157706","4.088062584713256","5.0969805176354495","9.85310897796882","7.154459520603611","10","2.2800075398341515","7.687486811259654","3.9075325559474416","1.7451519614802988","13","10","3","4.1870623779594505","16","10"
"CLV","5.742239331514912","5.556114892160954","7.687486811259654","5.0969805176354495","5.208744951090535","1.7451519614802988","8.39594061750745","5.0969805176354495","7.154459520603611","6.23268571398012","","6.819396342547373","4.370961668764377","4.088062584713256","7.468004130824854","1.7451519614802988","3.9075325559474416","13","8.28268228889613","3","4.053482792726562","16","8.262225220825805"
"DAL","7.468004130824854","9.152215405426835","1.7451519614802988","6.23268571398012","5.556114892160954","4.269679486772539","0.1108463922856476","4.351431958076804","3.9075325559474416","2.0241949242215145","9.172868379724205","0.8779216015483182","5.925943768919303","","0.775673267593183","5.742239331514912","7.468004130824854","13","6.162297356349206","3","4.580070166517285","16","4.953642095116833"
"DEN","2.2800075398341515","5.742239331514912","0.775673267593183","2.0241949242215145","6.517101976137165","5.925943768919303","3.876444096371066","2.2800075398341515","7.687486811259654","","7.341638319312217","5.0969805176354495","9.288657443950783","5.208744951090535","6.819396342547373","0","2.3931242111700666","13","6.598886770682629","3","1.6749284937986446","16","4.335444102783656"
"DET","7.154459520603611","0","5.208744951090535","7.687486811259654","4.351431958076804","","3.7878170630104053","4.148789747449429","9.288657443950783","2.3931242111700666","5.981612440427933","0.8560874143137718","4.088062584713256","8.5203632157706","4.148789747449429","7.468004130824854","0.8560874143137718","13","5.801292769192922","3","3.659220075918757","16","6.079874578758089"
"GB","4.148789747449429","5.208744951090535","4.088062584713256","5.556114892160954","0.8560874143137718","4.972988549436761","1.5341142049069263","7.687486811259654","2.3931242111700666","4.148789747449429","","0.775673267593183","7.154459520603611","0","9.288657443950783","0.8560874143137718","6.23268571398012","13","2.2797561967946143","3","6.035571924113194","16","3.4334859342661566"
"HST","0","4.370961668764377","3.9075325559474416","4.972988549436761","8.5203632157706","5.742239331514912","7.255088699016091","","6.517101976137165","10","4.206778621696523","1.7451519614802988","5.0969805176354495","9.152215405426835","5.742239331514912","0.8779216015483182","4.269679486772539","13","8.093949160473642","3","2.695763903568163","16","6.49826619767301"
"IND","1.7451519614802988","2.2800075398341515","6.23268571398012","9.152215405426835","5.0969805176354495","8.5203632157706","3.656761710321735","5.742239331514912","4.972988549436761","9.288657443950783","6.709996306343651","7.468004130824854","","0.8779216015483182","8.5203632157706","4.370961668764377","10","13","7.584643577432955","3","10","16","8.337981580902355"
"JAX","10","2.025606378347445","2.3931242111700666","4.370961668764377","0.8779216015483182","6.23268571398012","","3.9075325559474416","1.7451519614802988","8.5203632157706","8.039917690891244","8.5203632157706","0.8560874143137718","5.0969805176354495","6.23268571398012","4.972988549436761","9.152215405426835","13","4.470210314620161","3","8.45812332592246","16","5.22506013262219"
"KC","2.025606378347445","3.9075325559474416","9.288657443950783","6.819396342547373","","6.517101976137165","5.583356542686458","2.025606378347445","5.208744951090535","4.088062584713256","4.684672660536819","0","0.775673267593183","4.370961668764377","2.3931242111700666","2.0241949242215145","6.517101976137165","13","4.4144772088491795","3","2.722896205278467","16","2.7090341694801783"
"LA","2.0241949242215145","7.468004130824854","2.025606378347445","0.8779216015483182","0","4.351431958076804","6.55193950765148","6.517101976137165","9.152215405426835","4.351431958076804","","4.269679486772539","2.2800075398341515","2.0241949242215145","4.972988549436761","5.925943768919303","5.556114892160954","13","3.5521725829174278","3","6.082810268054737","16","3.8612100924247335"
"LAC","4.351431958076804","6.819396342547373","0","5.925943768919303","2.025606378347445","2.2800075398341515","","0.775673267593183","6.23268571398012","1.7451519614802988","5.607640267197837","2.3931242111700666","5.556114892160954","6.819396342547373","2.0241949242215145","9.288657443950783","2.2800075398341515","13","1.8349294851312998","3","4.3408514402748","16","1.9307118188410832"
"LV","9.288657443950783","6.517101976137165","7.154459520603611","2.2800075398341515","2.3931242111700666","0","0","5.208744951090535","2.0241949242215145","5.925943768919303","2.180731058896587","10","","6.517101976137165","2.025606378347445","8.5203632157706","4.351431958076804","13","4.495861426739021","3","5.134809903897095","16","4.932383680778179"
"MIA","6.819396342547373","2.0241949242215145","2.2800075398341515","4.148789747449429","4.370961668764377","","4.805848504827052","2.3931242111700666","2.190790334681982","3.9075325559474416","0","5.208744951090535","2.025606378347445","0.8560874143137718","4.269679486772539","6.517101976137165","0","13","0","3","2.633041083282545","16","0"
"MIN","4.269679486772539","0.8560874143137718","5.556114892160954","9.288657443950783","7.154459520603611","","3.395217211193789","2.190790334681982","0","4.269679486772539","2.1792115130047853","4.088062584713256","7.687486811259654","2.3931242111700666","2.190790334681982","9.152215405426835","5.208744951090535","13","3.41454127270477","3","6.141665075251974","16","4.250800843196768"
"NE","5.925943768919303","5.0969805176354495","5.742239331514912","0","6.819396342547373","5.208744951090535","0.08717616911603807","9.288657443950783","4.269679486772539","2.190790334681982","","6.517101976137165","0","4.148789747449429","2.2800075398341515","5.208744951090535","2.025606378347445","13","5.135464965146628","3","1.8586306288341568","16","3.3869239442170986"
"NO","2.190790334681982","1.7451519614802988","6.819396342547373","4.088062584713256","4.148789747449429","7.468004130824854","4.684685804613459","","10","7.687486811259654","0.9216481708788786","4.370961668764377","4.269679486772539","7.687486811259654","5.556114892160954","4.351431958076804","4.088062584713256","13","5.828413901582805","3","4.585969253923786","16","5.4860429147968155"
